Kwong Chow Congee & Noodle House,chinese,congee,3163 Main St Vancouver BC V5T
Sun Fresh Bakery,chinese,dimsum,245 Keefer Street Vancouver BC
RedBeef Noodle Kitchen,chinese,noodles,W 4th Ave Vancouver BC
Golden Ocean Seafood Restaurant,chinese,seafood,W 41st Ave Vancouver BC
Szechuan Chili Restaurant,chinese,spicy,6th Ave W Vancouver BC
Kadoya Japanese Restaurant,japanese,sushi,1063 Davie St Vancouver
River Sushi,japanese,sushi,678 W Broadway Vancouver BC
Tendon Kohaku,japanese,tempura,840 Howe Street Unit 190 Vancouver BC
JINYA Ramen Bar,japanese,ramen,541 Robson St Vancouver BC
Sashimiya,japanese,sushi,1348 Hornby Street Vancouver BC
